lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
60.61149,12.07746,service,217,70,70,63,9.2,–,1.3,0
60.67481,12.07278,service,144,-15,2,20,2.1,–,2.2,0
60.67634,12.07266,service,203,25,25,29,3.9,–,1.5,0
60.67053,12.0741,service,206,-6,6,22,2.8,–,2.8,0
60.47456,12.09322,service,236,37,37,34,5.1,–,2.4,4.6
60.46667,12.09885,service,635,61,67,32,11.5,–,2.2,0
60.85636,12.06724,service,334,-9,3,11,3.9,–,1.8,0
60.55803,12.09761,unclassified,187,4,6,12,2.5,bekk,2.9,0
60.4813,12.11029,service,161,-11,1,21,2.0,–,0.8,0
60.66362,12.09522,service,147,-14,1,25,2.0,–,1.1,0
60.77395,12.0867,track,220,32,32,39,4.9,–,0.4,0
60.65085,12.09895,service,265,-2,16,68,5.5,bekk,2.4,0
60.82543,12.08646,service,166,7,10,20,2.5,–,2.9,0
60.80744,12.09029,track,504,-11,15,42,7.1,bekk,0.1,0
60.71492,12.0992,unclassified,291,12,15,19,4.2,–,1.7,0
60.88547,12.08392,unclassified,349,-5,12,47,5.2,bekk+myr,1.7,0
60.62779,12.10816,service,691,173,179,56,24.0,–,1.2,0
60.9699,12.0786,unclassified,424,-4,4,8,5.0,–,0.5,0
60.42828,12.13045,track,212,3,5,11,2.7,–,0.6,0
60.80785,12.09612,track,186,-10,3,27,2.5,–,0.3,0
60.56166,12.1201,secondary,180,21,21,19,3.2,–,2.9,0
60.81643,12.09884,unclassified,324,9,16,25,4.7,–,1.5,0
60.69201,12.11155,service,185,5,5,7,2.4,–,1.7,0
60.67781,12.11557,primary,168,-17,3,71,3.9,elv+vann,1.5,0
60.53832,12.12945,unclassified,215,-1,4,12,2.6,–,0.8,0
60.62575,12.12168,service,729,87,92,35,14.2,–,2.8,0
60.52955,12.13152,service,193,-8,1,12,2.2,–,1.3,0
60.93003,12.09608,service,367,24,31,28,6.2,–,0.0,0
60.57335,12.12945,unclassified,403,7,12,9,5.2,–,2.7,0
60.5455,12.13337,unclassified,407,12,15,18,5.5,–,2.9,0
60.41876,12.14764,service,284,6,14,22,4.2,–,2.9,0
