E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
331900,6729650,60.66715,11.92334,174,171,1.5,2.3,12.0,13.0,15.8
331900,6758400,60.92490,11.89850,354,305,0.1,1.8,12.2,13.0,12.4
332000,6706900,60.46322,11.94449,246,264,0.0,1.4,13.3,10.7,17.7
332000,6720500,60.58516,11.93297,NaN,178,0.0,2.8,13.3,14.7,14.4
332050,6736350,60.72728,11.92034,335,280,2.9,1.8,10.1,11.5,13.3
332100,6741400,60.77258,11.91691,314,247,0.2,2.7,12.9,17.0,18.2
332150,6756400,60.90707,11.90484,334,161,0.3,2.0,10.7,13.5,12.9
332300,6752350,60.87083,11.91112,390,434,3.0,2.3,11.3,13.1,13.9
332350,6705650,60.45216,11.95190,171,216,0.1,1.7,10.9,11.4,14.1
332350,6742350,60.78120,11.92067,383,265,2.4,2.5,12.6,12.6,12.9
332450,6712350,60.51227,11.94807,177,245,0.1,2.6,13.1,13.6,20.2
332500,6713650,60.52395,11.94788,177,173,0.0,2.1,12.0,13.3,13.8
332700,6707100,60.46531,11.95704,177,237,0.1,0.3,10.5,10.5,12.4
332700,6735100,60.71635,11.93331,244,223,1.1,1.5,15.0,10.7,16.7
332700,6735200,60.71724,11.93322,249,221,1.7,0.2,10.0,10.1,14.2
332750,6728050,60.65316,11.94023,215,417,0.2,0.1,15.2,17.2,18.4
332850,6716200,60.54696,11.95210,210,192,0.7,0.3,10.3,12.5,12.8
332950,6725300,60.62859,11.94622,192,321,1.9,2.6,10.3,10.3,16.0
333100,6712700,60.51568,11.95960,234,264,0.1,2.7,14.7,13.2,15.5
333100,6734500,60.71114,11.94114,221,158,0.1,1.6,17.0,12.7,16.8
333350,6724650,60.62293,11.95407,163,252,2.5,2.5,10.4,12.5,12.0
333400,6707550,60.46963,11.96937,201,194,0.5,2.6,16.1,16.1,16.1
333500,6711050,60.50105,11.96826,220,345,0.0,1.8,11.2,15.6,17.1
333500,6716750,60.55216,11.96347,242,503,0.2,0.8,18.7,13.2,17.1
333550,6705750,60.45356,11.97360,173,192,1.7,2.0,10.4,11.9,19.3
333550,6744350,60.79963,11.94097,431,322,2.0,1.4,15.5,14.3,13.8
333600,6710750,60.49841,11.97033,216,275,0.1,1.9,10.1,13.9,19.6
333650,6708350,60.47691,11.97324,220,213,0.0,0.1,13.6,11.5,14.7
333700,6749850,60.84901,11.93901,384,165,0.2,0.8,12.2,10.2,15.7
333800,6703800,60.43617,11.97976,152,258,0.1,0.1,11.6,13.4,14.9
333800,6719850,60.58008,11.96633,174,222,0.1,0.2,14.3,11.1,12.8
333850,6752250,60.87058,11.93971,291,595,0.0,0.6,14.4,14.2,12.2
333900,6701250,60.41335,11.98370,271,594,0.3,0.3,16.6,11.1,13.0
334100,6707700,60.47127,11.98196,217,214,2.2,2.7,10.4,12.0,15.0
334300,6727700,60.65067,11.96884,353,820,1.3,1.4,10.1,11.9,12.1
334450,6701200,60.41313,11.99371,253,240,0.5,1.5,11.8,14.3,17.7
334650,6704450,60.44235,11.99464,257,155,0.6,0.1,13.3,11.2,12.4
334650,6743850,60.79561,11.96158,371,195,1.1,2.7,12.6,10.4,13.5
334700,6726550,60.64052,11.97711,325,290,1.1,1.0,10.4,18.2,18.7
334700,6733400,60.70194,11.97134,250,177,1.1,2.8,11.8,14.4,12.5
335050,6753700,60.88409,11.96053,335,283,0.2,1.1,15.4,14.0,17.2
335400,6734500,60.71209,11.98322,259,423,0.9,1.3,12.6,11.8,13.9
335500,6752850,60.87665,11.96954,329,178,2.5,1.5,10.4,14.9,19.4
335800,6727250,60.64725,11.99661,307,404,0.4,1.2,12.5,12.5,12.7
335900,6731600,60.68629,11.99480,179,542,1.0,2.8,12.3,12.4,13.8
336050,6735200,60.71863,11.99453,308,275,1.2,1.3,11.7,14.9,19.8
336200,6725950,60.63576,12.00500,268,322,0.6,0.0,18.2,18.2,18.2
336350,6728850,60.66182,12.00532,203,206,0.1,0.1,11.8,14.7,13.5
336500,6721250,60.59374,12.01437,152,213,0.0,1.8,14.5,11.3,19.5
336500,6750450,60.85555,11.98996,311,173,2.6,1.6,10.3,14.5,13.0
336550,6726000,60.63635,12.01135,286,531,1.6,2.0,14.4,10.4,12.3
336700,6744300,60.80049,11.99881,393,463,0.5,2.0,13.1,13.0,14.5
336850,6737150,60.73644,12.00754,365,322,1.5,2.4,12.0,10.8,16.5
336850,6767300,61.00676,11.98212,473,406,0.8,0.7,10.2,12.7,12.5
337000,6749400,60.84634,12.00003,316,272,1.9,2.9,10.1,10.1,14.1
337050,6726950,60.64507,12.01969,217,198,0.8,2.8,11.5,15.0,15.2
337100,6751650,60.86655,11.99997,350,155,1.8,2.6,10.9,11.0,13.2
337450,6736900,60.73445,12.01874,389,352,1.3,2.4,10.8,15.5,14.2
337700,6752600,60.87532,12.01021,377,361,0.1,1.4,14.1,14.1,13.1
337750,6722550,60.60590,12.03609,154,168,0.2,0.2,15.5,16.0,20.2
337850,6733400,60.70323,12.02897,258,250,0.1,0.1,14.8,14.2,20.0
338050,6715250,60.54057,12.04755,151,438,0.2,0.2,14.3,13.5,19.3
338100,6738800,60.75175,12.02907,452,314,0.3,1.5,13.1,10.6,13.2
338200,6732150,60.69216,12.03640,270,283,1.1,2.7,17.4,12.8,13.1
338250,6731800,60.68905,12.03760,287,482,1.2,2.3,12.0,13.3,13.0
338250,6749750,60.84999,12.02271,332,350,1.1,0.7,12.5,14.2,13.9
338450,6731550,60.68688,12.04147,308,261,0.1,2.0,11.5,12.2,12.6
338450,6741800,60.77879,12.03299,353,413,0.2,2.9,12.9,12.9,13.2
338450,6752150,60.87159,12.02438,388,178,0.4,1.2,15.2,11.4,15.9
338500,6730450,60.67704,12.04329,276,412,0.1,2.2,11.7,11.7,14.1
338700,6712900,60.51976,12.06129,157,245,0.0,2.3,10.4,14.2,15.6
338750,6703100,60.43190,12.07014,152,378,0.1,0.6,15.6,12.8,16.5
338800,6751500,60.86590,12.03136,383,273,1.6,1.8,17.8,10.3,12.8
338900,6743750,60.79646,12.03963,329,603,0.1,1.4,12.0,13.4,12.1
339050,6730800,60.68040,12.05305,320,492,0.1,1.9,12.4,16.9,14.1
339150,6718850,60.57329,12.06464,164,220,1.0,1.9,11.8,10.3,15.0
339350,6738000,60.74508,12.05263,437,640,2.5,2.1,15.9,17.8,15.5
339400,6748400,60.83835,12.04496,324,239,0.2,1.3,13.6,10.4,16.1
339500,6725050,60.62902,12.06598,190,232,1.9,0.7,13.1,10.5,15.6
339650,6747750,60.83262,12.05009,328,156,1.2,1.2,11.3,17.2,17.9
339700,6732700,60.69770,12.06338,232,242,1.7,0.2,15.3,12.1,14.4
339800,6750300,60.85555,12.05074,386,192,1.2,0.7,10.4,10.2,15.0
339850,6718650,60.57178,12.07756,196,213,1.1,2.9,13.2,20.8,17.3
339850,6733450,60.70448,12.06551,279,201,0.0,0.1,18.9,16.5,17.4
340000,6731500,60.68706,12.06985,231,199,1.9,0.9,11.6,11.9,14.9
340050,6723050,60.61131,12.07764,260,217,1.1,1.3,20.0,12.6,15.6
340100,6730150,60.67499,12.07278,232,155,0.7,1.3,12.0,12.0,13.5
340100,6730300,60.67634,12.07266,229,203,0.1,1.3,11.2,13.9,13.1
340150,6729650,60.67053,12.07410,219,206,0.1,0.1,12.0,13.2,16.8
340200,6700700,60.41096,12.09836,210,209,0.8,0.5,10.6,11.5,14.3
340250,6707800,60.47465,12.09359,276,239,2.9,3.0,13.1,10.7,12.2
340500,6706900,60.46667,12.09885,322,635,0.1,1.5,10.3,13.5,12.2
340500,6744200,60.80113,12.06862,301,351,0.1,1.9,13.0,10.3,16.8
340650,6750350,60.85634,12.06632,456,286,2.6,2.6,14.9,14.7,15.0
340700,6750350,60.85636,12.06724,454,334,0.6,1.2,11.5,10.7,15.8
340900,6717050,60.55785,12.09798,206,169,0.1,0.0,11.6,11.7,15.4
340900,6724500,60.62465,12.09197,261,340,2.9,1.2,13.4,11.4,13.1
341200,6708500,60.48130,12.11029,262,161,0.1,2.9,12.0,11.5,13.8
341250,6728850,60.66380,12.09485,178,164,1.2,2.4,20.8,21.5,19.5
341350,6741150,60.77413,12.08670,369,208,1.7,0.5,14.2,13.4,14.4
341400,6727400,60.65085,12.09876,189,271,0.1,1.1,10.9,11.3,16.5
341600,6746850,60.82534,12.08664,354,165,0.1,0.1,12.6,19.5,19.9
341700,6744850,60.80744,12.09011,311,514,0.2,2.1,10.1,14.2,15.6
341750,6713500,60.52635,12.11630,202,313,0.7,2.6,10.8,13.5,17.4
341750,6734550,60.71510,12.09939,379,274,2.7,2.2,11.7,10.6,12.0
341750,6753550,60.88547,12.08392,418,349,2.7,1.7,11.7,11.7,14.3
341800,6724800,60.62770,12.10816,373,697,0.2,2.2,12.4,15.5,17.3
341900,6762950,60.96981,12.07897,451,405,0.2,1.2,10.2,11.8,13.5
342050,6702550,60.42828,12.13045,203,211,1.2,2.4,13.0,11.5,13.2
342050,6744900,60.80803,12.09649,316,167,0.1,2.5,15.6,10.4,12.7
342150,6717400,60.56148,12.12047,300,158,0.7,2.7,10.6,11.5,15.3
342200,6745850,60.81661,12.09847,354,307,0.1,1.1,11.4,10.6,12.7
342300,6731950,60.69201,12.11155,210,185,1.0,1.2,10.6,12.1,13.1
342300,6749000,60.84489,12.09775,387,359,0.0,2.6,12.1,10.1,15.2
342450,6730350,60.67772,12.11557,179,178,0.8,2.0,17.2,18.2,17.5
342450,6757800,60.92386,12.09333,435,394,1.7,2.6,14.9,15.2,13.6
342550,6714800,60.53832,12.12982,287,224,0.9,2.0,12.3,19.0,12.2
342550,6724550,60.62575,12.12205,387,711,1.4,0.1,16.0,10.9,14.6
342600,6713800,60.52937,12.13152,260,213,0.3,2.9,14.3,14.3,14.1
342650,6758500,60.93021,12.09645,410,340,0.4,1.3,14.7,14.4,13.1
342700,6718700,60.57335,12.12945,341,403,0.3,0.6,15.5,16.1,16.0
342750,6722900,60.61103,12.12702,248,219,2.1,2.0,11.4,11.5,14.3
342800,6715600,60.54559,12.13374,315,421,1.2,2.2,15.9,13.1,14.1
342800,6720600,60.59043,12.12976,317,602,2.6,1.3,10.1,13.4,13.3
342950,6701450,60.41876,12.14764,226,284,0.1,0.2,10.2,11.5,16.8
342950,6705100,60.45149,12.14477,247,206,2.2,1.9,10.5,15.9,14.1
343050,6731900,60.69186,12.12530,230,220,2.0,2.9,12.1,14.1,13.9
343150,6722050,60.60357,12.13499,263,216,1.3,1.7,15.2,13.8,17.4
343250,6737000,60.73767,12.12487,355,164,1.0,0.8,10.3,13.5,13.6
343300,6751500,60.86770,12.11410,413,552,2.4,2.1,11.9,10.3,12.5
343400,6703600,60.43822,12.15411,205,224,2.8,1.4,11.5,16.8,13.5
343400,6717450,60.56242,12.14320,287,317,0.2,2.8,12.0,10.1,14.8
343400,6723800,60.61936,12.13816,306,349,1.1,1.3,12.8,13.5,21.2
343400,6745450,60.81349,12.12083,441,174,0.1,1.6,12.6,11.6,12.1
343400,6751400,60.86685,12.11602,411,490,0.2,2.0,11.4,10.4,12.1
343450,6751650,60.86911,12.11674,415,386,0.2,0.6,10.9,12.9,13.0
343500,6744250,60.80277,12.12363,394,158,0.1,2.8,14.4,20.6,13.7
343550,6701850,60.42258,12.15821,206,222,2.9,2.3,11.0,17.1,16.1
343550,6706050,60.46025,12.15491,319,548,0.2,0.8,11.5,20.0,19.0
343550,6744750,60.80728,12.12415,417,358,0.1,1.8,11.7,10.1,12.1
343600,6705700,60.45713,12.15609,300,222,2.0,1.1,11.5,15.2,13.6
343600,6727950,60.65665,12.13851,217,256,1.8,0.8,12.7,16.4,16.8
343600,6751650,60.86917,12.11950,419,236,0.0,2.4,10.4,14.7,12.6
343700,6714600,60.53698,12.15091,232,161,0.1,0.1,11.1,14.1,14.1
343700,6745900,60.81765,12.12597,442,172,2.1,2.2,12.3,14.7,14.8
343750,6734450,60.71500,12.13607,310,233,1.2,1.2,10.2,10.1,12.5
343800,6717000,60.55854,12.15084,254,206,3.0,1.6,12.9,11.4,12.4
343850,6726050,60.63971,12.14459,335,167,0.4,2.0,12.1,11.2,14.2
343850,6728500,60.66168,12.14264,204,229,0.1,2.6,14.2,13.4,14.0
343850,6743350,60.79484,12.13078,330,178,1.0,2.1,15.0,11.0,12.9
344000,6706150,60.46132,12.16301,238,239,0.1,0.5,14.9,18.7,20.4
344000,6726300,60.64201,12.14713,334,352,0.1,2.4,16.0,16.3,12.2
344050,6729550,60.67117,12.14546,181,185,2.0,0.5,10.6,10.7,19.5
344050,6734950,60.71960,12.14116,345,156,0.0,1.2,11.7,11.9,14.5
344150,6718350,60.57078,12.15615,295,181,1.9,2.0,11.9,14.9,14.4
344150,6721250,60.59678,12.15386,299,317,0.1,3.0,11.3,17.6,12.8
344150,6725350,60.63355,12.15062,366,224,3.0,2.1,18.6,14.2,17.1
344150,6727900,60.65642,12.14860,236,393,1.8,2.0,13.8,12.0,20.3
344200,6718500,60.57214,12.15694,302,166,2.1,1.0,15.6,12.4,19.5
344250,6710000,60.49594,12.16453,292,259,0.6,2.7,12.8,15.3,15.0
344250,6726550,60.64435,12.15149,338,563,0.4,2.4,10.3,11.5,15.8
344300,6721150,60.59595,12.15667,292,295,0.3,0.6,10.2,11.3,12.8
344350,6706950,60.46863,12.16874,272,167,0.5,1.9,14.5,16.5,19.7
344450,6707350,60.47225,12.17024,304,364,2.6,1.8,13.5,14.2,15.4
344450,6728950,60.66595,12.15325,192,220,2.9,2.7,11.0,11.5,15.2
344450,6738000,60.74710,12.14606,356,404,1.6,2.0,14.5,12.5,16.7
344500,6714050,60.53235,12.16590,248,308,0.7,2.9,11.3,10.0,12.3
344600,6746200,60.82069,12.14226,359,242,1.4,0.2,13.4,11.0,13.8
344700,6717200,60.56068,12.16707,275,499,0.2,0.1,11.6,12.2,15.6
344700,6729450,60.67053,12.15742,189,213,1.8,1.6,10.1,19.5,18.8
344700,6749100,60.84673,12.14177,416,210,0.1,2.7,12.7,11.0,14.2
344750,6734650,60.71718,12.15421,368,265,0.0,2.7,13.3,12.8,16.1
344800,6728950,60.66609,12.15964,195,252,0.1,2.6,10.8,15.5,15.4
344800,6738000,60.74724,12.15247,359,172,0.1,1.5,13.7,10.7,12.8
344850,6733950,60.71094,12.15660,353,159,1.2,1.7,11.9,11.9,14.7
345100,6707450,60.47340,12.18197,289,227,2.8,2.5,15.9,12.7,18.6
345250,6726150,60.64115,12.17007,314,472,0.1,0.1,13.5,14.4,15.8
345250,6730350,60.67881,12.16676,220,178,0.3,1.3,11.8,13.0,15.2
345250,6747600,60.83350,12.15308,408,634,0.1,0.6,12.0,13.9,18.6
345300,6714400,60.53580,12.18019,295,293,0.4,2.2,14.3,14.2,14.6
345350,6714450,60.53627,12.18106,299,334,2.3,1.8,16.5,16.2,15.0
